2022-03-26 13:00:56,101  [INFO]  Epoch: 3  Loss: 0.12776,  Dice-Coef:  0.87224  (train_2022.py:  55)
2022-03-26 13:02:02,165  [INFO]  Epoch: 3  Loss: 0.23628,  Dice-Coef:  0.76372  (train_2022.py:  81)
2022-03-26 13:05:00,880  [INFO]  Epoch: 4  Loss: 0.11301,  Dice-Coef:  0.88699  (train_2022.py:  55)
2022-03-26 13:06:07,196  [INFO]  Epoch: 4  Loss: 0.27040,  Dice-Coef:  0.72960  (train_2022.py:  81)
2022-03-26 13:09:05,162  [INFO]  Epoch: 5  Loss: 0.10553,  Dice-Coef:  0.89447  (train_2022.py:  55)
2022-03-26 13:10:11,589  [INFO]  Epoch: 5  Loss: 0.28528,  Dice-Coef:  0.71472  (train_2022.py:  81)
2022-03-26 13:13:09,581  [INFO]  Epoch: 6  Loss: 0.10177,  Dice-Coef:  0.89823  (train_2022.py:  55)
2022-03-26 13:14:15,825  [INFO]  Epoch: 6  Loss: 0.31474,  Dice-Coef:  0.68526  (train_2022.py:  81)
2022-03-26 13:17:13,739  [INFO]  Epoch: 7  Loss: 0.09847,  Dice-Coef:  0.90153  (train_2022.py:  55)
2022-03-26 13:18:20,001  [INFO]  Epoch: 7  Loss: 0.29084,  Dice-Coef:  0.70916  (train_2022.py:  81)
2022-03-26 13:21:18,021  [INFO]  Epoch: 8  Loss: 0.09356,  Dice-Coef:  0.90644  (train_2022.py:  55)
2022-03-26 13:22:24,467  [INFO]  Epoch: 8  Loss: 0.22132,  Dice-Coef:  0.77868  (train_2022.py:  81)
2022-03-26 13:25:23,531  [INFO]  Epoch: 9  Loss: 0.09234,  Dice-Coef:  0.90766  (train_2022.py:  55)
2022-03-26 13:26:30,047  [INFO]  Epoch: 9  Loss: 0.21725,  Dice-Coef:  0.78275  (train_2022.py:  81)
2022-03-26 13:29:28,880  [INFO]  Epoch: 10  Loss: 0.09128,  Dice-Coef:  0.90872  (train_2022.py:  55)
2022-03-26 13:30:35,261  [INFO]  Epoch: 10  Loss: 0.24650,  Dice-Coef:  0.75350  (train_2022.py:  81)
2022-03-26 13:33:33,315  [INFO]  Epoch: 11  Loss: 0.08970,  Dice-Coef:  0.91030  (train_2022.py:  55)
2022-03-26 13:34:39,875  [INFO]  Epoch: 11  Loss: 0.22729,  Dice-Coef:  0.77271  (train_2022.py:  81)
2022-03-26 13:37:37,991  [INFO]  Epoch: 12  Loss: 0.08734,  Dice-Coef:  0.91266  (train_2022.py:  55)
2022-03-26 13:38:44,429  [INFO]  Epoch: 12  Loss: 0.21446,  Dice-Coef:  0.78554  (train_2022.py:  81)
2022-03-26 13:41:43,621  [INFO]  Epoch: 13  Loss: 0.08711,  Dice-Coef:  0.91289  (train_2022.py:  55)
2022-03-26 13:42:50,126  [INFO]  Epoch: 13  Loss: 0.30694,  Dice-Coef:  0.69306  (train_2022.py:  81)
2022-03-26 13:45:48,366  [INFO]  Epoch: 14  Loss: 0.08630,  Dice-Coef:  0.91370  (train_2022.py:  55)
2022-03-26 13:46:54,691  [INFO]  Epoch: 14  Loss: 0.22005,  Dice-Coef:  0.77995  (train_2022.py:  81)
2022-03-26 13:49:52,792  [INFO]  Epoch: 15  Loss: 0.08520,  Dice-Coef:  0.91480  (train_2022.py:  55)
